tweets,status
#ECUADOR | La nueva cifra de contagiados por #coronavirus en el país es de 39.994 y 3.394 personas fallecidas. https://t.co/xv0wu9AU4h,negativo
" @pabloevallejo: Estar en semaforo amarillo  no significa que la emergencia sanitaria termino  
Desde la @emac_ep #Cuenca se recuerda,""""",negativo 
"#Comunidad🚦| A partir del 1 de junio, en #Ecuador rigen nuevos horarios de toque de queda debido a la emergencia sanitaria por el coronavirus.

⚀ Rojo》de 18:00 a 05:00

⚂ Amarillo》de 21:00 a 05:00

⚃ Verde  》 de 24:00 a 05:00

#ComunicadorEc
#QuédateEnCasa https://t.co/2tRGmApAZ9",positivo
"Ecuador registra 1.140 nuevos casos de coronavirus y 263 fallecidos, tras dos días sin ofrecer balance https://t.co/Q0eonUgJWd",negativo
Mañana 1 de junio se disminuye el toque de queda nacional (será de 6p a 5a),positivo
Liga de Quito realiza pruebas de coronavirus al plantel profesional en el Rodrigo Paz https://t.co/5meuQVAqhV,positivo
#NosCuidamosTodos | El distanciamiento social es una forma de no contagiarse de #Covid19.,positivo
"El 🤥🤥🤥🤥🤥🤥🤥 @Lenin   ""Ecuador registra 1.140 nuevos casos de coronavirus y 263 fallecidos, tras dos días sin ofrecer balance"" 
https://t.co/p3KJYw4HT2 #GraciasPuebloHeroico @VencedorMRT 🇻🇪",negativo
"@DipuCuenca colabora con el BM @Liberbank #Cuenca y efectua el pago de 80000 euros 
recogidos en el convenio con e ,""""",positivo 
"Ecuador supera los 40.000 positivos y registra 3.438 fallecidos por COVID-19 - https://t.co/htD901Ggti

#SoyNuevaPrensa #Azuay #COVID19 #Pichincha #Quito #Salud #Teschilas #Virus #Global https://t.co/EpAL1Trypz",negativo
"Los problemas para el alcalde de #Quito empezaron con una denuncia de posibles sobreprecios en la compra de 100.000 pruebas tipo PCR, realizada por la Secretaría de Salud, que era dirigida por el entonces secretario, Lenin Mantilla. » https://t.co/LytfO1EVoX 
#COVID19 https://t.co/Nl6GYoB8jf",negativo
"Muere concejala de Ecuador, Manta por aparente COVID-19: “Ese video la hizo entrar en depresión” La muerte de la concejala del cantón Manta, Violeta Ávila. 
Aseguraba que era más importante comprar naranjas que mascarillas, en el contexto de la pandemia por el nuevo coronavirus. https://t.co/5RX86gYTJj",negativo
"#ATENCIÓN
@FiscaliaEcuador allanó el domicilio del prefecto del Guayas, @CLMoralesB, en el marco de la investigación por presuntos sobreprecios en compras de implementos de bioseguridad por #EmergenciaSanitaria.
Más detalles: 
https://t.co/5C6ky1nKu0
#Corrupción #Covid19 #Ecuador https://t.co/sS1UouzJFQ",positivo
"Ecuador reporta cerca de 40.000 infectados por coronavirus y 5.529 muertos, entre confirmados y probables https://t.co/NpmATdn6eO vía @ACUtv",negativo
"Ecuador reporta 37.656 contagiados por coronavirus y 5.276 fallecidos, entre confirmados y probables https://t.co/Ma3aahZqUA",negativo
"@dacaas @CarlosVerareal Y ni hablar de nueva loja se paso de tener 6 camas UCI a tener actualmente 18  Hoy fallecio ,""""",negativo
"#URGENTE│ Se reportan casi 1.000 nuevos casos de Covid-19 en Ecuador en las últimas 24 horas #Ecuador #coronavirusec 
https://t.co/o9iEVpvHKI",negativo
"RT @WDVL4: Casi 5.500 casos confirmados de covid19 en CABA.  Su tasa de letalidad: 3,10% o sea 152 personas tristemente ya fallecieron en e…",negativo
" @adrianitaparra3: Quito Ecuador  25 de mayo 2020 En pamdemia COVID 19 el gobierno de el 
TRAIDOR  MORENO reprime al pueblo ecuatoriano  #,""""",negativo
42 106 casos confirmados de coronavirus en Ecuador https://t.co/DIJ1SmLOBb https://t.co/ug3I6Z1znJ,negativo
" @Heraldocanar: #IMPOANTE Segun las ultimas cifras proporcionadas por la Coordinacion Zonal 6 de Salud, Azogues es el canton que regist,""""",negativo
🚨 [#ATENCIÓN] |  Hasta este viernes 5 de junio el Ecuador registra 41.575 casos de coronavirus y 3.534 fallecidos 👉https://t.co/ivwj09Ffd7 https://t.co/kmTKkCppvl,negativo
"⭕️ ACTUALIZACIÓN cifras #COVID19 en #Ecuador 

⛔️ 40.414 casos confirmados
⚰️ 3.438 fallecidos
❇️ 4.000 casos recuperados 

🔘 Datos provincia de #Tungurahua 
⛔️ 527 casos confirmados

Somos @StereoFiesta1 https://t.co/UFWuxtr2MS",negativo
"Esta semana lanzamos #losquenoaparecen, una seccion en la que los familiares que siguen 
buscando los cuerpos de sus ,""""",negativo 
La sexta causal del articulado se ha aplicado más a hombres con 7046 y 5842 mujeres. ► https://t.co/w9yZpdy0TP,positivo
"Dónde estaban lxs gringxs el año pasado cuando hubo toda la crisis de corrupción en varios países de Latinoamérica, hubieron marchas, levantamientos, desapariciones, violaciones, Chile, Colombia, Brasil, Perú. Ecuador colapsando por el coronavirus",negativo
"#ATENCIÓN Se reportan casos de CoVID19 en centros de acogida de adultos mayores en Tungurahua. 
Lea la nota completa ➡️ https://t.co/ZbBQHgQsVG https://t.co/sqnLdLltka",negativo
"Tras el gigante sudamericano, los países con mayor número de casos son Perú, Chile, México y Ecuador.
https://t.co/NEiZCO02iL",negativo
"(((🔴))) EN VIVO 

Atento Ecuador 🇪🇨 Desde este martes 2 de junio, Daule empezó en color verde en semaforización por #Covid19.
👁️ Este cantón se convirtió en el segundo en el país en tomar esta decisión. 
⚖️ LA VERDAD NOS HARÁ LIBRE.
#Daule #Ecuador #Mundo #Quito #Esmeraldas https://t.co/6RyvwL3Wog",positivo
RT @EjercitoECU: ...mascarillas y 300 trajes de protección de bioseguridad para los soldados de la Brigada de Infantería Motorizada N.° 7 L…,positivo 
"Cuidate del #Coronavirus #Covid19 ... realiza todas las medidas preventivas que puedas ... si te cuidas, tambien cu… https://t.co/wPYDsnVdTY",positivo 
"#Cuenca @UGT_Comunica cree que los datos de mayo evidencian que la destrucción de empleo en #CLM se ha frenado ""en parte"" #Covid19 #Coronavirus https://t.co/zeuKeHL51L",positivo
"https://t.co/JMheU4H3qA
RT @manabi_noticias: #URGENTE | #MANABÍ
Dos casos de #coronavirus en la #cárcel de mujeres de #Portoviejo.",negativo
RT @ANCecuador: #ACTUALIZACIÓN | #CoronavirusEc 29.05.2020 / 14H00  Hasta el momento se presentan 435 casos de #COVID19 en distintos canton…,negativo
RT @pulsoguayaco: Coronavirus: Spirit será la primera aerolínea estadounidense que retomará vuelos en #Ecuador 👇 https://t.co/pI0IMkXiz9,positivo
"Revise la tasa de prevalencia de infectados de Covid19 en los cantones que dejan el semaforo rojo #data #Ecuador ,""""",negativo
"Gracias a la gestión de nuestro exalcalde @jaimenebotsaadi por medio del comité especial de emergencia contra el coronavirus de Guayaquil 
y la coordinación de Eriberto Llamuca pudimos llegar con 2.000 kits de alimentos, además por la donación del municipio 
https://t.co/XmvcClaiDn",positivo
"#Coronavirus Nicolás Maduro afirmó que: ""nuestra amenaza es Colombia, Brasil, Ecuador y Perú"" por el alto número de contagiados de COVID-19 en Venezuela https://t.co/or3s7Aa6ji",negativo
"FINAL

Guayas: Muertes registradas por TODAS LAS CAUSAS en el Registro Civil (ACUMULADO ABRIL y MAYO 2020). Comparación 2018, 2019. Actualizado 01.06.2020.

#coronavirus #coronavirusEcuador #Covid_19 #COVID19Ecuador #QuédateEnCasa #Ecuador #Guayas #Rstats https://t.co/bewwHXKYuv",positivo
"#ACTUALIDAD
127 periodistas en el mundo murieron por #coronavirus, muchos en #Latinoamérica ►► https://t.co/4WEQ7qYVa4 https://t.co/pLzlgxysRG",negativo
"#CoronavirusEnEcuador. Cifras oficiales hasta el 4 de junio, difundidas este viernes 5: Suman 41 575 los casos confirmados 
► https://t.co/yocoo7FCqd https://t.co/Tq52GiagDQ",negativo
"#Ecuador 
🇪🇨| La información policial se acompañaba de fotografías de cristales rotos en la entrada al edificio 
https://t.co/RIgChE9Ume",negativo
"🎥 REPORTAJE | TC TELEVISIÓN @elnoticierotc : Autoridades temen un rebrote de coronavirus en Guayaquil.
Vocero: Dr. Wilson Tenorio, MSc. Presidente del @CMGuayas https://t.co/Afc4lyYpnl",negativo
" @EcuadorTV: #VIDEO | La estabilizacion fiscal y un manejo adecuado de la emergencia sanitaria seran las prioridades en el ultimo año de,""""",positivo 
"Guayas: Muertes registradas por TODAS LAS CAUSAS en el Registro Civil (cifras de decesos disponibles desde el 12 de ,""""",positivo 
" @itsabela: Esta semana lanzamos #losquenoaparecen, una seccion en la que los familiares que 
siguen buscando los cuerpos de sus seres que,""""",negativo 
"#DIRECTO |  Cuenca sigue en la #Fase2 con menos de diez hospitalizados 

https://t.co/Nl14OVGVlj",negativo
"Colegas de profesión, amigos y familiares protagonizaron una emotiva despedida del Dr. Eugenio Suárez, fallecido en Ecuador a causa del Covid-19.
#trending #topics #amigos #coronavirus https://t.co/nAqrthvAuD https://t.co/vrcsQ9gHPA",negativo
"@MariaPe74634211 @DrGiammattei @mingobguate Y no que la Karina no cree en el coronavirus, pero bien que usa mascarilla, 
seguro que solo para la foto se la quito en la barbilla,  jaja se siente inmortal.",negativo
📹#VÍDEO | Andalucía prevé ceder respiradores a Ecuador con un protocolo de colaboración https://t.co/ekjEJAIMGu https://t.co/rJVoiY9CQO,positivo
"El #Ecuador registra casi 40.000 contagios y 3.394 muertes por el #coronavirus, mientras que otras 2.135 personas han fallecido probablemente por #COVID-19, según datos oficiales.",negativo
" @JohnTown_: Porque siguen hablando de 3000 muertes Covid  Solo Guayaquil tuvo mas de 12000 sobre el promedio de muertes diarias  ,""""
",negativo 
Se nos viene el incremento de la mortalidad en Quito.,negativo
"Conoces las grandes ventajas de ARRANCA GRASA para tener tu #hogar #limpio y sin #grasa 
Te lo enseñamos de manera didáctica y práctica.
los productos #indualca están diseñados para su fácil uso y excelente calidad.
.
.
#ecuador #hogarsano #uio #guayaquil #quito #COVID19 https://t.co/qIS5JTXK9N",positivo
39 994 casos confirmados de coronavirus en Ecuador https://t.co/RXmYfjTZX5 https://t.co/ndADdBP6zg,negativo
"[GRÁFICO] | Los contagios de #Covid19 descendieron y la evolución de casos en mayo se mantuvo estable y a la baja. Eso ha permitido relajar las restricciones. 
Daule decide pasar a verde y 15 cantones de Guayas están en amarillo. » https://t.co/MnJAoK7BWR https://t.co/qoCJ6LaSUM",positivo
"😷 Ministro de Salud dice que Quito vive pico de atenciones por covid-19, no de contagios - El Comercio (Ecuador) 
👉 https://t.co/VuMVEc01Dg 💊 #Medical #GroupZirigoza",positivo
"#ECUADOR  COE NACIONAL INFORMÓ ALGUNAS CIFRAS Y DISPOSICIONES FRENTE A LA PANDEMIA DEL #CORONAVIRUS Juan Zapata, Director del ECU911 en cadena nacional informó que ""Bares, karaokes, centros de diversión nocturna y centros de tolerancia se mantendrán cerrados”. https://t.co/PWYRh8YxwK",positivo
Coronavirus: El cantón Daule cumple su primer día en régimen de semáforo verde. https://t.co/oBLTrbYaw3 https://t.co/tY8tPUJS3e,positivo
"El Concejo Cantonal hoy, 30 de mayo, aprobo la Ordenanza para Promocion y 
Fortalecimiento de la Movilidad Activa en ,""""",positivo 
"#VIDEO | La estabilizacion fiscal y un manejo adecuado de la emergencia sanitaria seran las prioridades en el ultim ,""""",positivo 
Coronavirus en Ecuador: aeropuerto de Quito reanuda operaciones comerciales  https://t.co/R8WfBvGzSv a través de @Agencia_Andina,positivo
"#DiálogoDirecto | Con Teresita Cabrera, Impulsadora de Proyectos #SoyAzuay, 
sobre la propuesta que apoya a los proyectos de emprendimientos por la emergencia  #covid19.",positivo 
" @cpetersenec: Oficialmente he ingresado la denuncia a Contraloria x posibles irregularidades en compra d insumos medicos por Covid-19 n,""""
",positivo 
" @elyex: Ecuatorianos desafian al #Gobierno y al COVID-19 para protestar en las calles  
@elyex #25Mayo #COVID19 #E,""""",negativo
"RT @PoliciaEcuador: Durante el #ToqueDeQueda dispuesto para enfrentar la emergencia sanitaria, vigilamos que se cumplan las medidas de rest…",positivo 
"RT @omarfayad: En Hidalgo se reportan 1,439 casos de #COVID19, 233 sospechosos, 261 casos de pacientes recuperados y 240 defunciones de acu…",negativo
"Guayas: Muertes registradas por TODAS LAS CAUSAS en el Registro Civil (cifras de decesos disponibles desde el 12 de ,""""",positivo 
"Martes 2 de junio: Cuenca y Guadalajara siguen la racha positiva sin fallecidos por coronavirus pero registran nuevos casos, por @LiberalCastilla  https://t.co/SULjs01qWZ",positivo
" @mercurioec: Asi transcurren las manifestaciones de estudiantes, gremios y movimientos sociales en 
#Quito en rechazo a las medidas econo,""""",negativo
"Pero en 🇪🇨con pruebas que no sirven, muestr…",negativo 
"Casos de coronavirus en Ecuador: viernes 5 de junio: 42 106 confirmados, 3592 fallecidos - https://t.co/gfPnOkPqEh https://t.co/09R4Xn3Rij",negativo
"Ecuador reporta cerca de 40.000 infectados por coronavirus y 5.529 muertos, entre confirmados y probables https://t.co/vdCb4n0BCI",negativo
"Fiscalia realizo allanamientos al Municipio de Quito por presunto sobreprecio en pruebas de Covid-19 ,""""",positivo 
"#Anonymuos
Mi mamá me dio la vida, el coronavirus me quito las ganas de vivirla y el regreso de Anonymous me dio ganas de vivirla&lt;3",negativo
#COVID19 en #Ecuador: 5.970 fallecidos en el contexto del coronavirus. 3.592 muertes confirmadas por el virus y 2.378 fallecidos probables. 👇 https://t.co/AegZIOcKox,negativo
"#Noticias #Ecuador De 1051 los casos confirmados de coronavirus se elevaron en El Oro a 1062, segun el ultimo repor ,""""",negativo
"Mientras más de 1 millón niños de la costa del #Ecuador tengan dificultades para iniciar su año escolar, la frase #FelizDíaDelNiño es una frase vaciada de contenido. 
 #coronavirus #1Junio #Covid_19  @EcuadorVideo @ecuabot https://t.co/0Blts2XbR2",negativo
#Coronavirus #FelizLunes #Covid_19 #SeguimosDePie #Pichincha #Twitter https://t.co/E09cfnrco1,positivo 
" @MunicipioQuito: Acata las disposiciones con responsabilidad, #QuedateEnCasa, si no lo haces estas exponiendote a ti y a los demas a un,""""",positivo 
La falta de transparencia en las cifras oficiales del #coronavirus es observada tanto en #Rusia como en #Ecuador  @MinGobiernoEc https://t.co/sR0qgsC9OL,negativo
" @ReutersLatam: Familias ecuatorianas aun buscan a sus muertos perdidos en medio de la pandemia  ,""""",negativo 
"El @MunicipioQuito espera que el sector empresarial implemente transporte institucional para sus empleados, lo que ayudará a evitar aglomeraciones en el transporte público. » https://t.co/fj4JSPVpg9 https://t.co/JFD7cFrMjY",positivo
"RT @omarfayad: El cubrebocas es un gran aliado en la lucha contra el #COVID19, por ello es fundamental su uso correcto en espacios publicos…",positivo 
"Anoten✍️,según Lenin el Coronavirus es Contagiado en los Buses,en todo el Transportpúblico Guayaquil está Podrido;lleva más de 23.000 Muertos a la Fecha.
Y en Galápagos Pdte?
Aquí todo está protegidox USURPADOR Bancario autorizado x Mi de Yo.
Y los POBRES?
Jodidos con el Mashi.",negativo
Apoyarlos en estos momentos hará que su salud emocional se fortalezca.,positivo
"🔴 #Ecuador superó este martes los 40.000 casos positivos de #Covid19 y registró 3.438 decesos oficiales y 2.201 probables 
&gt;&gt;&gt;https://t.co/GupOOm4rwT https://t.co/6xQgW0ah9R",negativo
"#DiálogoDirecto | Con la Dra. Natalia Prego, Doctora en Medicina y Cirugía por la Universidad Santiago de Compostela, sobre el confinamiento y la inmunización de quienes han superado el #coronavirus.",positivo 
"#ATENCIÓN | Después de 78 días por emergencia del #covid19, los parques de Quito se habilitan nuevamente al público. ¿Se permiten actividades deportivas? 
» https://t.co/lDWMicnTYb https://t.co/5L9NufEdM2",positivo
"#URGENTE | #ECUADOR #Militares que sepultaron #muertos por #coronavirus en Guayaquil reciben #terapias psicologicas ,""""",positivo 
Martes 2 de junio: Cuenca sigue la racha positiva sin fallecidos por coronavirus pero registra cinco nuevos casos https://t.co/d3LhDjS18u,positivo
"#ÚltimaHora | 🔴 Ecuador registra 1.140 nuevos casos de coronavirus y 263 fallecidos, tras dos días sin ofrecer balance  #5Jun https://t.co/gEL7eZcvQ7",negativo
"Acata las disposiciones con responsabilidad, #QuédateEnCasa, si no lo haces estás exponiéndote a ti y a los demás a un posible contagio del 
potencial pandémico #COVID19. En Pichincha hay 4042 casos.  #DisciplinaParaVolver https://t.co/gnpLAUfMci",positivo
"Ecuador reporta cerca de 40.000 infectados por coronavirus y 5.529 muertos, entre confirmados y probables https://t.co/psstHmWLrQ a través de @HCHTelevDigital",negativo
"#Guayaquil: Relajo y aglomeración de personas en un local de dulces en Urdesa, la @PoliciaEcuador tuvo que intervenir para que la gente tome 
distanciamiento social #DiaDeLaNinez #SemáforoEc #1Jun #Anomymous #Ecuador #DiaDelNino #coronavirus @AntiradarGYE @EmergenciasEc https://t.co/ifzGPRa5Eu",negativo
"Ecuador supera los 40.000 positivos y registra 3.438 fallecidos por COVID-19 - https://t.co/htD901Ggti

#SoyNuevaPrensa #Azuay #COVID19 #Pichincha #Quito #Salud #Teschilas #Virus #Global https://t.co/EpAL1Trypz",negativo
"Trump prohíbe vuelos de China; Canadá descarta a Huawei; Reinfección de ... https://t.co/9VmyauoxA2 a través de @YouTube  #Israel #EEUU #Chile 
#Argentina #Colombia #Panamá #Ecuador #España #CoronavirusEc #Coronavirus",negativo
"#Manabí #Covid19 | Con el nuevo horario de toque de queda habrá cambios en #Portoviejo, cantón que sigue con 'semáforo rojo'  
&gt;&gt;&gt;https://t.co/aNFyU2DAHc https://t.co/jC1rJ2zaDU",positivo
" @Freddy_Bsc: Le preguntas a TODO el mundo en Guayaquil y el 99% ya tuvo sintomas de 
#Covid en el transcurso de marzo hasta hoy La mayor,""""",negativo 
"Ecuador, cerca de los 40 mil casos confirmados de coronavirus https://t.co/b2jZbxQ7LQ https://t.co/oFjenizlka",negativo
" @itsabela: Esta semana lanzamos #losquenoaparecen, una seccion en la que los familiares que siguen buscando los cuerpos de sus seres que,""""
",negativo 
"Fiscalia realizo allanamientos al Municipio de Quito por presunto sobreprecio en pruebas de Covid-19 ,""""",negativo
"#Urgente
#Corrupción
Son 12 allanamientos en Quito y 5 detenidos, y 11 allanamientos en Guayaquil, con 9 detenidos, en el mega operativo realizado por Fiscalía con el apoyo de la Policía Nacional, por las compras de insumos médicos en la #EmergenciaSanitaria por el #COVID19",positivo
"RT @Primicias: En la Amazonia, hay cinco cantones en los que la curva no se aplana. Estan ubicados en las provincias de Napo, Orellana, Pas…",negativo
"#ATENCIÓN | Hasta el 2 de junio, #Ecuador registra 40.414 casos de #Covid_19. » https://t.co/o9mqxDdP3k https://t.co/s5S1EhYB2j",negativo
" @lahistoriaec: Con este entusiasmo el alcalde de Quito @LoroHomero recibio el 20 de abril en el aeropuerto las primeras pruebas PCR para,""""",positivo 
" @Salud_CZ3: #Chimborazo Luisa Loza @GoberChimborazo, Hector Pulgar @Salud_CZ3, y Patricia Reategui, Responsable Zonal de Vigilancia  Epi,""""",positivo 
Coronavirus: Colegios anunciarán por canales digitales a los abanderados y escoltas - https://t.co/7BQ7u5ZsgT https://t.co/GFo08AK5II,positivo
#Covid19 | Primer torneo virtual de trompos en Ecuador. Conozca cómo participar » https://t.co/AYAEGv2gMI https://t.co/ux3QJNqZ0J,positivo
"#Covid_19 Ascienden a 385 personas en la provincia de Chimborazo, que han dado positivo al Covid-19, en #Riobamba s ,""""",negativo
Ecuador registra 1.140 nuevos casos de coronavirus y 263 fallecidos https://t.co/9F2UAg2nDH,negativo
Parece no estar informada acá paso en tiempo de Coronavirus en Guayaquil.. Y pasa a lo largo de nuestra América https://t.co/HwKBbrdW4u,negativo
Quito reinicia actividades parciales por la presión económica https://https://t.co/kQTYftCph6 #Ecuador #Pandemia #COVID19,positivo
"Entregamos kits de tratamiento médico para pacientes con #Covid-19, en las alcaldías de Urdaneta, Puebloviejo, Ventanas y Babahoyo, gracias a 
la donación del Comité Especial de Emergencia por Coronavirus de Guayaquil. https://t.co/cORhUBK27U",positivo
"Una de las acciones que tomará esta entidad es proponer una reunión de ministros de ambiente de Brasil, Bolivia, Colombia, Guyana, Perú y Surinam para planificar la respuesta a la pandemia del #coronavirus a través de la conciencia ambiental. ► https://t.co/6EgfAN5iip https://t.co/bCgJ5t7jjK",positivo
" @revistavistazo: Josefina Coloma es una cientifica ecuatoriana radicada en California 
El resultado sobre el Covid19 de su investigacion tambien benefici,""""",positivo 
"A LAS 07H00 DE ESTE LUNES SE TOMARÁN PRUEBAS DE COVID-19 EN LIGA DE QUITO   #RevistaWinner @RevistaWinnerEc ,""""
",positivo 
"@Sebimanzoni1 En realidad hasta ahora, el pais con la cuarentena mas larga es peru desde el 16 de marzo hasta el 30 de junio, ecuador tambien va mas de dos meses ya 
pero si argentina esta entre uno de los primeros https://t.co/6Ff8iQ0lAS",negativo
"No olvides que nuestra atención es de primera. Esperamos que tengas un gran fin de semana!  #felizviernes #viernes #findesemana #bienestar #salud #medico #medicina 
#doctor #coronavirus #covid #covid19  #quito #ecuador #coronavirusecuador #urgente #emergencia #ultimahora https://t.co/uVOJVbnCMK",positivo
"Antiparasitarios, antivirales y anticoagulantes son parte de los medicamentos que se han suministrado a los pacientes de #COVID19 😷 de  nuestro país.

Detalles en el reporte de 📰 @elcomerciocom. ⬇️⬇️

👉🏽 https://t.co/rBJVeb4avE 🌐 https://t.co/uA1yXeJhNS",positivo
"Tasa de letalidad de paises de la región #covid19 #coronavirus  - Mexico: 10,88 % - Venezuela: 10 % (según HRW) - Ecuador: 8,59 % - Brasil: 5,69 % 
- Honduras: 4,08 % - Cuba: 3,98 % - Colombia: 3,18 % - Argentina: 3,19 % - Bolivia: 3,14 % - R. Dominicana: 2,86 % https://t.co/jDd9IAxVgY",negativo
"#ElP… Halo solar #Guayaquil y así cerramos Mayo.... coronavirus, temblor y halo solar... que será de junio en este 2020 https://t.co/Rc9AdStkZs
RT @anmapep: Lenin Moreno: ""Voy a #Guayaquil a transformar el miedo en valentía y si regreso con Coronavirus, regreso contento igual""",negativo 
"@BaironValleP @AsambleaEcuador @RichardM_A @somos_rc @virgiliohernand @pabelml @marcelaguinaga @MauricioProanio @RicardoPatinoEC
 @PaolaPabonC @VocesDelSurEC @MonicaBritoRC @kolectiVOZ SOS ECUADOR#JUICIO POLITICO AL MINISTRO DE LA MUERTE MARTINEZ YA!!QUE PREFIRIO 
PAGAR LA DEUDA CON SOBREPRECIO ANTES QUE SALVAR VIDAS DEL CORONAVIRUS#POR ASESINATO AL PUEBLO#VIOLACION A LA CONSTITUCION y
POR MENTIROSO NO FUERON 350 SINO1200,QUE LO CONDENEN A 100.000 dias DE CARCEL!",negativo
"La CORRUPCIÓN se expandió, más rápido que el covid19 en el Ecuador.",negativo
#Covid19Pastaza |  El alcalde del canton Pastaza Oswaldo Zuñiga indico que una vez superadas algunas incongruencias… https://t.co/GKA1fiLvl3,positivo 
"Rafael Correa cuestionó cifras oficiales y dijo que Ecuador tiene 18 mil muertos por coronavirus | @MashiRafael, Coronavirus, #Ecuador  https://t.co/6yukfEY7Ld",negativo
"@CIDH muestra 'alarma' por propagación de #coronavirus entre indígenas amazónicos de #Ecuador 

Mas de 180 casos registrados y una decena de muertes vinculadas.

Lee más @elcomerciocom: https://t.co/BQJltdFUaw https://t.co/j0qaEU93WR",negativo
"#TeInforma II Aerovía y la Troncal 4 de la Metrovía continúan paralizadas_x000D_
El Municipio de Guayaquil aún no conoce de forma exacta  cuándo podrá retomar las obras que quedaron paralizadas desde el 
pasado 16 de marzo a causa de la emergencia sanitaria por la pandemia de coronavirus https://t.co/NpuFfjXEMY",negativo
"La rutina de hoy en dia, osea la nueva “normalidad”🤦
#QuedateEnCasa #Ecuador #COVID #coronavirus #Argentina https://t.co/pHnJGl5HY7",positivo
"Martes 2 de junio: Cuenca y Guadalajara siguen la racha positiva sin fallecidos por coronavirus pero registran nuevos casos, por @LiberalCastilla https://t.co/SULjs01qWZ",positivo
"Una de las zonas que merece atención por su vulnerabilidad es la Sierra centro, en donde están algunos cantones de Tungurahua, Chimborazo, Bolívar y Cañar. En esta zona se registran considerables tasas de casos confirmados.
 https://t.co/M9zcbqggh9",negativo
"#Atención | Según el último informe del COE Nacional son 527 los casos de #Covid19 en #Tungurahua. Corte: 2 de junio-08:00. 
#EmergenciaSanitaria https://t.co/RO5oblmURT",negativo
@Riesgos_Ec @RommelSalazar35 @Caravana750 Recordemos que haces pocas semanas murieron muchísimos Ecuatorianos a causa de pocas personas que trajeron el coronavirus al Ecuador señores del CAE piense .mil veces antes de darle luz verde a esto clase de eventos,negativo
" @EcuadorTV: #VIDEO | La estabilizacion fiscal y un manejo adecuado de la emergencia sanitaria seran las prioridades en el ultimo año de,""""",positivo 
#AEcuadorLoSacamosTodos https://t.co/T9IKEDrPKW,positivo
"#Salud | Nuevo estudio certifica que mantener tres metros de distancia y usar protectores faciales/oculares es indispensable para reducir la 
transmisión del coronavirus #Covid19 &gt;&gt;&gt;https://t.co/9Zpw52oheR https://t.co/7SFLSOoZvy",positivo
" @el_pais: Sara Bravo, medica de 28 años  La sanitaria era asmatica y trabajaba en 
turno de tarde en el centro de salud de Mota del Cuerv,""""",negativo 
"Los murciélagos son vistos como plagas, animales peligrosos y transmisores del nuevo coronavirus. Un programa de conservación en 
Ecuador busca protegerlos a través de la creación de áreas de conservación y talleres de educación para niños y adultos. https://t.co/iynP6z8V1G",negativo
¡UNA PENA! https://t.co/KvIYVivvWl,negativo 
